280;05/01/2023;1956;270;0;99;240;175.04;0;0;89;350.07
285;20/01/2023;350;60;0;15;0;0;0;0;0;0
290;25/01/2023;500;180;0;756;0;0;0;0;88.78;0
291;30/01/2023;200;30;0;75;0;0;0;0;0;0
292;31/01/2023;600;60;0;12;0;0;0;0;88.78;0
293;31/01/2023;4000;600;0;240;0;0;0;0;0;0
295;06/02/2023;2150;420;0;935.8;0;0;0;0;96.62;0
296;08/02/2023;2608;360;0;72;240;202.43;0;0;89;404.87
297;13/02/2023;350;120;0;476.8;0;0;0;0;0;0
298;16/02/2023;200;60;0;387.8;0;0;0;0;88.78;0
300;22/02/2023;200;30;0;120;0;0;0;0;;0
306;08/03/2023;200;30;0;76;0;0;0;0;88.78;0
309;22/03/2023;1304;180;0;30;240;158.43;0;0;89;316.87
310;22/03/2023;3368;480;0;60;240;315.27;0;0;89;630.54
311;22/03/2023;2608;360;0;60;240;262.58;0;0;89;525.15
312;22/03/2023;1956;270;0;45;240;188.02;0;0;89;376.04
313;23/03/2023;1950;360;0;1698;0;0;0;0;96.62;0
314;10/04/2023;6736;960;0;240;240;585.99;0;0;156;1171.98
321;10/04/2023;6736;960;0;240;240;585.99;0;0;156;1171.98
329;10/04/2023;5150;1410;0;834;0;0;0;0;0;0
330;13/04/2023;23472;3240;0;2160;480;1757.97;0;0;234;3515.94
331;13/04/2023;1475;165;0;120;0;0;0;0;0;0
332;14/04/2023;350;60;0;155;0;0;0;0;0;0
334;14/04/2023;350;120;0;216.4;0;0;0;0;96.62;0
336;19/04/2023;1550;300;0;1893.6;0;0;0;0;96.62;0
337;27/04/2023;1250;150;0;36;0;0;0;0;96.62;0
343;04/05/2023;2900;450;0;147;0;0;0;0;0;0
344;05/05/2023;2608;360;0;60;240;203.83;0;0;89;407.66
346;10/05/2023;1956;270;0;108;240;150.07;0;0;89;300.13
348;18/05/2023;12450;2400;0;5528;0;0;0;0;254.59;0
349;20/05/2023;300;0;0;60;0;0;0;0;0;0
350;24/05/2023;1550;45;0;0;0;0;0;0;0;0
353;31/05/2023;5894;1680;2380;696;240;430.12;0;0;156;860.25
364;19/06/2023;1600;300;0;60;0;0;0;0;0;0
363;19/06/2023;1956;270;0;54;240;151.37;0;0;89;302.74
365;20/06/2023;7550;750;0;45;0;0;0;0;0;0
367;23/06/2023;2718.75;525;0;120;0;0;0;0;0;0
369;27/06/2023;7200;0;0;0;0;0;0;0;96.62;0
370;27/06/2023;10104;1440;0;936;240;880;0;0;234;1760
372;28/06/2023;20900;3180;9000;4000;0;0;0;0;254.59;0
373;29/06/2023;4900;270;0;180;0;0;0;0;96.52;0
380;07/07/2023;812.5;150;0;390;0;0;0;0;0;0
381;07/07/2023;14550;2400;0;450;0;0;0;0;0;0
382;07/07/2023;600;0;0;0;0;0;0;0;0;0
384;17/07/2023;650;60;0;6;0;0;0;0;0;0
386;28/07/2023;1300;180;15.9;0;0;0;0;0;0;0
387;28/07/2023;700;60;0;30;0;0;0;0;0;0
388;02/08/2023;7500;1140;0;1740;0;0;0;0;96.62;0
397;15/08/2023;5550;780;0;828;0;0;0;0;96.62;0
395;15/08/2023;13150;1080;0;2764;0;0;0;0;254.59;0
400;25/08/2023;675;150;390;0;0;0;0;0;0;0
401;25/08/2023;1304;180;0;30;240;61.64;0;0;96.62;123.28
402;30/08/2023;3260;450;0;90;240;152.4;0;0;96.62;1000
403;30/08/2023;1400;360;0;520;0;0;0;0;96.62;0
404;04/09/2023;4300;330;0;36;0;0;0;0;0;0
405;06/09/2023;7400;840;0;24;0;0;0;0;96.62;0
410;12/09/2023;3260;450;0;360;240;187.41;0;0;96.62;374.82
412;15/09/2023;4000;900;0;1450;0;0;0;0;96.62;0
413;15/09/2023;4000;900;0;1450;0;0;0;0;96.62;0
414;22/09/2023;800;30;0;0;0;0;0;0;0;0
420;11/10/2023;1800;210;0;18;0;0;0;0;96.62;0
421;16/10/2023;0;0;0;0;0;0;0;0;0;3313.25
422;14/10/2023;3200;390;0;1946;0;0;0;0;96.62;0
424;24/10/2023;1956;270;0;0;240;105.28;0;0;89;210.56
426;25/10/2023;2300;240;0;300;0;0;0;0;96.62;0
427;26/10/2023;4500;600;0;30;0;0;0;0;0;0
429;27/10/2023;225;15;0;9;0;0;0;0;0;0
431;27/10/2023;1650;650;0;252;0;0;0;0;96.62;0
432;30/10/2023;2650;540;0;1208;0;0;0;0;96.62;0
433;01/11/2023;4350;180;0;45;0;0;0;0;96.62;0
439;10/11/2023;4400;1300;0;387;0;0;0;0;96.62;0
441;17/11/2023;750;300;0;528;0;0;0;0;96.62;0
442;24/11/2023;675;150;0;6;0;0;0;0;0;0
444;24/11/2023;2025;101.25;0;78;0;0;0;0;0;0
446;28/11/2023;1700;180;0;18;;5715.17;0;0;0;0
447;28/11/2023;11750;180;0;2100;0;0;0;0;0;0
448;28/11/2023;5800;900;0;2400;0;0;0;0;96.62;0
449;29/11/2023;1956;270;0;72;240;84.72;0;0;89;169.43
454;12/12/2023;2275;270;0;564;0;0;0;0;0;0
455;12/12/2023;3260;450;0;300;240;147.73;0;0;89;295.46
457;18/12/2023;12000;1500;0;120;0;0;0;0;254.59;0
458;18/12/2023;0;840;0;210;480;239.69;0;0;96.62;479.38
459;21/12/2023;5052;720;0;414;480;186.41;0;0;96.62;372.83
460;21/12/2023;400;60;0;40;0;0;0;0;0;0
461;21/12/2023;150000;45000;25000;25000;4800;15000;0;0;290;131628
464;04/01/2023;1625;255;0;240;0;0;0;0;96.62;0
465;10/01/2023;1400;60;0;21;0;0;0;0;0;0
468;17/01/2024;2700;420;0;600;0;0;0;0;0;0
471;30/01/2024;450;60;0;24;0;0;0;0;0;0
472;31/01/2024;2300;240;0;300;0;8675.07;0;0;96.62;0
474;31/01/2024;1650;180;0;915;0;0;0;0;96.62;0
477;05/02/2024;225;30;0;75;0;0;0;0;0;0
484;16/02/2024;1350;270;0;600;0;0;0;0;0;0
483;16/02/2024;5052;720;0;1710;240;209.76;0;0;156;419.53
485;19/02/2024;1700;120;0;90;0;0;0;0;96.62;0
489;20/02/2024;0;0;0;;0;21750;0;0;0;0
491;20/02/2024;450;0;0;312;0;0;0;0;0;0
493;28/02/2024;2608;360;0;1220;240;101.64;0;0;96.62;216.2
495;01/03/2024;2200;480;0;180;0;0;0;0;96.62;0
503;08/03/2024;500;60;0;99;0;0;0;0;0;0
504;12/03/2024;3950;960;0;1384;0;0;0;0;96.62;0
506;15/03/2024;2700;330;0;60;0;0;0;0;0;0
507;15/03/2024;2700;330;0;60;0;0;0;0;0;0
509;20/03/2024;5575;480;0;1340;0;0;0;0;0;0
510;20/03/2024;750;90;0;269;0;0;0;0;0;0
511;22/03/2024;1304;180;0;330;240;58.4;0;0;89;116.79
513;01/04/2024;6400;4560;0;3032;0;0;0;0;254.59;0
512;01/04/2024;2608;360;0;132;240;129.73;0;0;89;259.47
514;05/04/2024;1900;210;0;558;0;0;0;0;96.62;0
518;08/04/2024;4050;540;0;90;0;0;0;0;0;0
519;08/04/2024;5894;840;0;168;240;324.52;0;0;156;649.04
524;17/04/2024;900;120;0;96;0;0;0;0;0;0
525;18/04/2024;1450;210;0;60;0;0;0;0;96.62;0
526;18/04/2024;7100;960;0;60;0;0;0;0;254.59;0
529;24/04/2024;2608;360;0;264;240;77.91;0;0;89;155.83
541;15/05/2024;1950;210;0;117;0;0;0;0;254.59;0
546;28/05/2024;1050;90;0;297.8;0;0;0;0;0;0
545;24/05/2024;1950;540;0;252;0;0;0;0;0;0
550;10/06/2024;1750;150;0;297.8;0;0;0;0;0;0
551;10/06/2024;2500;480;0;363;0;0;0;0;254.59;0
552;10/06/2024;525;90;0;201;0;0;0;0;254.59;0
556;17/06/2024;1900;420;0;807;0;0;0;0;404.59;0
559;21/06/2024;1350;360;0;450;0;0;0;0;0;0
560;24/06/2024;4400;645;0;324;0;0;0;0;254.59;0
554;14/06/2024;900;120;0;78;0;0;0;0;0;0
567;15/07/2024;2050;2000;0;799;0;0;0;0;0;0
568;15/07/2024;950;90;0;39;0;0;0;0;0;0
570;17/07/2024;225;30;0;168;0;0;0;0;0;0
572;31/07/2024;450;60;0;27;0;0;0;0;0;0
574;02/08/2024;500;60;0;50;0;0;0;0;0;0
576;08/08/2024;900;240;0;180;0;0;0;0;0;0
577;08/08/2024;900;240;0;180;0;0;0;0;0;0
580;09/08/2024;1300;180;0;54;0;0;0;0;0;0
581;12/08/2024;450;90;0;45;0;0;0;0;0;0
582;12/08/2024;1956;540;765;345;240;122.43;0;0;89;244.86
583;15/08/2024;11890.24;1317.07;0;1246.15;0;633.67;0;0;320.18;1267.34
586;21/08/2024;8900;2040;0;1692;0;0;0;0;254.59;0
587;23/08/2024;2925;390;0;18;0;0;0;0;100;0
589;23/08/2024;900;90;0;6;0;0;0;0;0;0
590;27/08/2024;5400;300;0;18;0;0;0;0;254.59;0
591;28/08/2024;1450;150;0;9;0;0;0;0;0;0
595;30/08/2024;0;1080;0;1774.49;0;502.65;0;0;262.55;1005.3
596;30/08/2024;4878.05;329.27;0;70.76;0;202.58;0;0;121.51;405.16
600;04/09/2024;14150;3420;0;2700;0;0;0;0;404.59;0
602;05/09/2024;1300;180;0;30;0;0;0;0;0;0
604;13/09/2024;2900;600;0;270;0;0;0;0;254.59;0
605;13/09/2024;2926.83;219.51;0;;0;130.95;0;0;121.51;261.89
606;13/09/2024;2439.02;219.51;0;347.68;0;113.38;0;0;121.51;226.77
611;19/09/2024;14400;7500;0;1419;0;0;0;0;404.59;0
612;20/09/2024;3625;217.5;0;540;0;0;0;0;254.59;0
613;20/09/2024;4880;0;0;3113.17;0;1544.64;0;0;707.19;0
617;26/09/2024;3902.44;329.27;0;29.48;0;146.13;0;0;121.51;292.25
621;04/10/2024;26450;3630;0;6345;0;0;0;0;254.59;0
622;09/10/2024;1550;135;0;150;0;0;0;0;254.59;0
623;10/10/2024;1875;210;0;297.8;0;0;0;0;0;0
624;10/10/2024;3800;840;0;360;0;0;0;0;150;0
625;11/10/2024;1650;90;0;15;0;0;0;0;90;0
626;14/10/2024;1700;240;0;30;0;0;0;0;0;0
627;17/10/2024;1350;180;0;297.8;0;0;0;0;0;0
628;22/10/2024;5687.5;1125;0;807;0;0;0;0;0;0
629;22/10/2024;0;0;0;;0;0;0;0;0;1850.7
630;23/10/2024;0;0;0;;0;2396.54;0;0;0;0
631;25/10/2024;2439.02;219.51;0;42.56;0;108.54;0;0;121.51;217.09
636;05/11/2024;3900;540;0;846;0;0;0;0;254.59;0
637;07/11/2024;9100;;0;1974;0;0;0;0;254.59;0
638;07/11/2024;450;60;0;15;0;0;0;0;0;0
640;21/11/2024;3150;180;0;240;0;0;0;0;254.59;0
641;21/11/2024;850;240;0;120;0;0;0;0;0;0
644;28/11/2024;3400;480;0;30;0;0;0;0;120;0
646;29/11/2024;1700;240;0;90;0;0;0;0;100;0
647;02/12/2024;1725;90;0;12;0;0;0;0;254.59;0
643;28/11/2024;5487.8;585.37;0;93.48;0;609.76;0;0;0;4746.17
645;29/11/2024;500;120;0;30;0;0;0;0;0;0
650;06/12/2024;1725;90;0;12;0;0;0;0;100;0
651;06/12/2024;5000;630;0;1200;0;0;0;0;254.59;0
652;12/12/2024;950;90;0;12;0;0;0;0;0;0
653;12/12/2024;950;90;0;12;0;0;0;0;0;0
655;16/12/2024;250;;0;282;0;0;0;0;0;0
656;19/12/2024;4950;1260;0;900;0;0;0;0;250;0
658;30/12/2024;10975.61;1317.07;0;83.11;0;542.88;0;0;320.18;0
663;22/01/2025;9000;1200;0;225;0;0;0;0;254.59;0
664;22/01/2024;450;60;0;15;0;0;0;0;0;0
665;27/01/2025;700;90;0;105;0;0;0;0;0;0
672;10/02/2025;450;60;0;141;0;0;0;0;0;0
673;11/03/2025;3000;210;0;3;0;0;0;0;254.59;0
677;14/02/2025;0;0;0;120;0;0;0;0;0;0
676;14/02/2025;6400;645;0;690;0;0;0;0;254.59;0
678;17/02/2024;4300;600;0;90;0;0;0;0;254.59;0
681;05/03/2025;650;150;0;322;0;0;0;0;100;0
682;06/03/2025;4146.34;329.27;0;34.05;0;166.08;0;0;121.51;332.16
685;18/03/2025;675;180;0;570;0;0;0;0;0;0
686;19/03/2025;3000;210;0;269;0;0;0;0;254.59;0
687;20/03/2025;3800;660;0;1191.2;0;0;0;0;254.59;0
688;20/03/2025;700;60;0;90;0;0;0;0;0;0
693;24/03/2025;750;60;0;90;0;0;0;0;0;0
694;24/03/2025;1550;195;0;30;0;0;0;0;0;0
695;25/03/2025;7125;4250;0;1180;0;0;0;0;404.59;0
689;20/03/2025;2682.93;219.51;0;115.19;0;142.45;0;0;121.51;284.9
696;25/03/2025;562.5;150;0;640;0;0;0;0;0;0
697;31/03/2025;3902.44;329.27;0;44.78;0;165.82;0;0;121.51;331.64
701;03/04/2025;5250;750;0;450;0;0;0;0;254.59;0
700;03/04/2025;675;82.5;0;96;0;0;0;0;0;0
702;07/04/2025;56.25;7.5;0;15;0;0;0;0;0;0
703;07/04/2025;5200;1020;0;1000;0;0;0;0;254.59;0
704;09/04/2025;12150;810;0;180;0;0;0;0;254.59;0
705;09/04/2025;450;60;0;90;0;0;0;0;;0
706;11/04/2025;650;150;0;360;0;0;0;0;100;0
707;14/04/2025;2325;217.5;0;225;0;0;0;0;254.59;0
708;14/04/2025;6850;840;0;360;0;0;0;0;;0
709;17/04/2025;2926.83;219.51;0;117.76;0;731.71;0;0;121.51;292.54
710;22/04/2025;337.5;45;0;180;0;0;0;0;0;0
711;22/04/2025;4600;450;0;156;0;0;0;0;254.59;0
712;28/04/2025;3414.63;329.27;0;29.47;0;146.1;0;0;121.51;292.2
713;05/05/2025;4325;870;0;966;0;0;0;0;254.59;0
714;06/05/2025;1950;270;0;90;0;0;0;0;254.59;0
715;06/05/2025;1300;180;0;180;0;0;0;0;0;0
719;12/05/2025;2682.93;219.51;0;24.98;0;731.71;0;0;121.51;254.64
727;15/05/2025;1400;330;0;538;0;0;0;0;0;0
728;16/05/2025;900;240;0;282;0;0;0;0;0;0
729;16/05/2025;900;120;0;360;0;0;0;0;0;0
730;16/05/2025;950;120;0;276;0;0;0;0;102;0
732;23/05/2025;2250;300;0;120;0;0;0;0;0;0
735;30/05/2025;0;0;0;120;0;0;0;0;0;0
736;30/05/2025;2450;270;0;360;0;0;0;0;150;0
740;06/06/2025;1825;360;0;807;0;0;0;0;0;0
741;09/06/2025;450;60;0;30;0;0;0;0;0;0
742;10/06/2025;10250;10000;0;3200;0;0;0;0;254.59;0
747;16/06/2025;8750;960;0;462;0;0;0;0;0;0
748;23/06/2025;900;60;0;96;0;0;0;0;0;0
749;27/06/2025;1000;80;0;300;0;0;0;0;404.59;0
750;30/06/2025;22950;3240;0;5967;0;0;0;0;0;0
752;01/07/2025;5850;560;0;600;0;0;0;0;404.59;0
753;02/07/2025;675;60;0;135;0;0;0;0;0;0
754;02/07/2025;4850;570;0;630;0;0;0;0;0;0
760;16/07/2025;5487.80;58537;0;129015;0;73171;0;0;12151;52675
761;15/07/2025;200;30;0;120;0;0;0;0;0;0
762;16/07/2025;1850;255;0;360;0;0;0;0;0;0
763;16/07/2025;3902.44;329.27;0;562.66;0;731.71;0;0;121.51;345.66
765;18/07/2025;1000;135;0;150;0;0;0;0;100;0
766;21/07/2025;450;60;0;63;0;0;0;0;0;0